<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RTSI;60;10/04/20;170000;1144.3300000;1148.6000000;1142.9900000;1144.8200000;58969309
RTSI;60;10/04/20;180000;1144.8600000;1147.0800000;1141.6800000;1142.8500000;39991225
RTSI;60;10/04/20;190000;1142.8100000;1144.2200000;1140.2400000;1142.0700000;56029607
RTSI;60;13/04/20;110000;1142.9000000;1148.5800000;1120.7900000;1124.0000000;192726870
RTSI;60;13/04/20;120000;1124.0000000;1128.5700000;1118.8700000;1127.9000000;123709252
RTSI;60;13/04/20;130000;1127.9900000;1131.1200000;1119.7000000;1123.9700000;61208049
RTSI;60;13/04/20;140000;1124.0200000;1130.1500000;1122.5800000;1126.9000000;39316881
RTSI;60;13/04/20;150000;1126.9300000;1130.4500000;1126.3600000;1128.5700000;26610529
RTSI;60;13/04/20;160000;1128.5600000;1132.1100000;1127.6700000;1128.7300000;33544172
RTSI;60;13/04/20;170000;1128.7800000;1130.6100000;1126.0000000;1128.6100000;38066202
RTSI;60;13/04/20;180000;1128.6400000;1134.4100000;1124.8200000;1125.1600000;61363687
RTSI;60;13/04/20;190000;1125.1500000;1128.9800000;1122.2400000;1124.9700000;75488119
RTSI;60;14/04/20;110000;1135.5700000;1148.1000000;1135.5700000;1139.4000000;186269633
RTSI;60;14/04/20;120000;1139.3100000;1140.0000000;1132.5000000;1134.3300000;107095691
RTSI;60;14/04/20;130000;1134.3200000;1137.2400000;1132.6100000;1133.7500000;80035377
RTSI;60;14/04/20;140000;1133.7700000;1135.2300000;1130.6600000;1133.5300000;69033056
RTSI;60;14/04/20;150000;1133.5800000;1134.3900000;1129.4300000;1130.8400000;73754504
RTSI;60;14/04/20;160000;1130.8200000;1136.3300000;1127.1900000;1134.4400000;124460278
RTSI;60;14/04/20;170000;1134.3400000;1145.3300000;1133.1500000;1145.3300000;142434725
RTSI;60;14/04/20;180000;1145.2700000;1151.6500000;1140.6000000;1140.8300000;164905540
RTSI;60;14/04/20;190000;1140.8500000;1141.8600000;1131.1200000;1133.2300000;181277495
RTSI;60;15/04/20;110000;1129.4900000;1129.4900000;1094.4000000;1095.2200000;250023588
RTSI;60;15/04/20;120000;1095.1500000;1095.1500000;1084.9500000;1090.7000000;170187352
RTSI;60;15/04/20;130000;1090.7800000;1091.7700000;1080.9700000;1085.2800000;112404799
